gap,ne,no,lc
0.3,1.655901906847182,1.629734575340128,29.61708188666768
0.32727272727272727,1.6543884910537388,1.630595999949056,32.57330208048152
0.35454545454545455,1.65288323057354,1.6314404161154494,36.14264356550399
0.38181818181818183,1.6519146627231307,1.632590013178951,40.10422016855771
0.40909090909090906,1.6507661048502835,1.6332036583440563,44.12824828962215
0.43636363636363634,1.649709925430493,1.633862821202651,48.904833896301874
0.4636363636363636,1.649274168407543,1.6348869321157935,53.867190632327016
0.49090909090909085,1.648167433832567,1.6351680452108173,59.61818840490122
0.5181818181818182,1.6476801647330586,1.635927754123971,65.94391787168564
0.5454545454545454,1.6470844616831568,1.636373882028817,72.35836201320579
0.5727272727272728,1.646443899547659,1.6367574050458917,80.00830433121203
0.6,1.646165972247756,1.637396571921839,88.37548420609589
