sourceExiting11,sourceEntering11,s11a,s11m,monitorExiting12,monitorEntering12,s12a,s12m,s12a_enter,s12m_enter,monitorExiting21,monitorEntering21,s21a,s21m,s21a_enter,s21m_enter,sourceExiting22,sourceEntering22,s22a,s22m,wavelengths,freqs
(-0.013675457980120124-0.1446062655735783j),(-0.22598282030041364+3.695621422792789j),2.9862300244935316,0.03923039036362941,(-4.008356751097643-2.640014905255772j),(0.1229174153354315+0.10937004462581187j),2.0921400876029277,1.2963172531177953,-0.9047265052481119,0.04443756020061249,(-4.00972862577766-2.6422017772452087j),(0.13038225300571082+0.12228668962687825j),2.0923408694099925,1.2964308278820216,-0.8785225679944754,0.04826000186492399,(-0.032747200482848876-0.14412811711296925j),(-0.22615643292613918+3.6971008849218703j),2.8570815206823164,0.039903097159694645,1.5,0.6666666666666666
(-0.048071199168010094-0.14295782113271852j),(0.6302952721002604+3.817663689778785j),2.980832856094469,0.03897912457873851,(-4.716681283892906-1.6938717390715057j),(0.15125945649009895+0.08064908269035363j),2.079199585167848,1.295210253045715,-0.9173317621980104,0.044301232270813215,(-4.718613157269809-1.695750267636669j),(0.16210080545811992+0.09190434617742943j),2.079399424236523,1.2953312924866498,-0.8914256651679365,0.04813929744925834,(-0.06725614229427769-0.13743106136698688j),(0.6304587965548478+3.8191897729265976j),2.850077493346654,0.03952734925250326,1.5020408163265306,0.6657608695652174
(-0.08218449347908806-0.13291018062205637j),(1.5256420810183926+3.7358502717454343j),2.9755010252210625,0.03872441479942293,(-5.19189493613332-0.5618175552744529j),(0.17254352136171036+0.04464389319909199j),2.0662959608830236,1.2941097767934682,-0.929900388669384,0.04416591691784357,(-5.194312537704982-0.5632437628544128j),(0.18636622058811247+0.053351087903465835j),2.066494675334965,1.2942382123765444,-0.9042971590249059,0.048019619457740484,(-0.10011986173562136-0.12227524911145321j),(1.5261521086846914+3.7373436120752905j),2.84317427361455,0.03914736080751608,1.5040816326530613,0.6648575305291723
(-0.1139100687307612-0.11456308295829663j),(2.410071617360736+3.43960263481119j),2.970236957392349,0.03846636374267549,(-5.385750595967521+0.6961859383742929j),(0.18490185699279174+0.003176804353628112j),2.053429052712775,1.2930157637920723,-0.9424326781940522,0.044031608212246956,(-5.388542347071342+0.6953367997522559j),(0.2010757995958304+0.008550472891809493j),2.0536264628560814,1.293151520142663,-0.9171374500795937,0.04790095976065211,(-0.12921757956714983-0.09913575919953557j),(2.410918259972768+3.440982704462238j),2.8363758708441913,0.038763275815355575,1.506122448979592,0.6639566395663956
(-0.14118917373227804-0.08855651166250321j),(3.23100937569061+2.930959869414244j),2.965043132463032,0.038205074454090895,(-5.266058913102935+2.0077591297571393j),(0.18695887578153064-0.04145169701144601j),2.0405986993824543,1.2919281538443763,-0.9549289266837495,0.04389829997411343,(-5.269081249667876+2.0075828313449344j),(0.2046469056718342-0.04003289547896812j),2.0407946278583493,1.2920711488672831,-0.9299469392423644,0.047783309752125455,(-0.1525803970477116-0.06902974470831164j),(3.2321636390092117+2.9321497639279674j),2.8296864732110447,0.03837523919419171,1.5081632653061225,0.6630581867388362
(-0.16215092973270953-0.05604979625628778j),(3.936563292818636+2.2251510098908995j),2.9599220885774495,0.03794065038679763,(-4.819851922584018+3.2925597703254876j),(0.17795302852398787-0.08660107566566784j),2.027804740295755,1.2908468870959917,-0.967389432405959,0.04376598575622249,(-4.822937180241904+3.2931149164756914j),(0.19615582391214098-0.08953966925748295j),2.0279990122292277,1.2909970320971929,-0.9427260275488238,0.04766666034132686,(-0.1685318545498744-0.033465465001201115j),(3.9379784354588434+2.2260820479965084j),2.8231104583178914,0.03798339696005251,1.510204081632653,0.6621621621621622
(-0.17524497904888725-0.018663199748650456j),(4.478902129592529+1.3502996755471015j),2.9548764259760527,0.03767319551360728,(-4.0552737518915425+4.467530798599136j),(0.15781871701409378-0.129459590345764j),2.0150470154941615,1.2897719039791073,-0.9798144954762263,0.04363465881932115,(-4.058240138807813+4.468832868607184j),(0.1754341351743287-0.13689740734589026j),2.0152394586481095,1.2899291037940939,-0.9554751154442005,0.047551001936479625,(-0.17581109114715618+0.005645425243231348j),(4.4805161353071155+1.3509155031540512j),2.8166524042353323,0.037587896428613675,1.5122448979591836,0.6612685560053981
(-0.17935539350313395+0.021614595518617923j),(4.817506805000899+0.3462483881423909j),2.9499088101005646,0.03740281446293903,(-3.002005644687331+5.4525686358091905j),(0.1272206624377878-0.16723203850425686j),2.0023253656688182,1.288703145154834,-0.9922044168621649,0.04350431211200212,(-3.004668650333742+5.454586783987214j),(0.1431137611787774-0.17902494184288642j),2.0025158105995833,1.2888672982867393,-0.9681946016274969,0.04743632443424673,(-0.17366899709925182+0.04610637950854843j),(4.819245793442163+0.3465083190362979j),2.8103171004757233,0.03718888644360258,1.5142857142857142,0.6603773584905661
(-0.17388708570365688+0.06254700317192774j),(4.922062351382106-0.7374458578425067j),2.9450219736628935,0.03712961266004385,(-1.7101430967730273+6.176195451674513j),(0.08753670318418054-0.197332777089059j),1.9896396322207137,1.2876405514823108,-1.0045594970470084,0.04337493826517738,(-1.7123275552438069+6.178852397140845j),(0.10061565851111018-0.21304468478517455j),1.9898279124320377,1.2878115502509448,-0.9808848815986357,0.04732261722431222,(-0.1619297757762773+0.08557681678356169j),(4.923844689832472-0.7375644721379111j),2.8041095585425606,0.03678651761757307,1.5163265306122449,0.6594885598923285
(-0.15881796097598855+0.10178972545747698j),(4.774778030423868-1.8442314223571337j),2.9402187176548713,0.036853696452955116,(-0.24756264774743336+6.580807671853962j),(0.040788946388536765-0.21756967589785525j),1.9769896573523116,1.2865840640351551,-1.0168800345947377,0.04324652960575644,(-0.2491146036713278+6.583982784234346j),(0.050081444808289556-0.23648712841744066j),1.977175609444919,1.2867617947359158,-0.9935463461363698,0.047209869213570003,(-0.141012985270908+0.12172508892348144j),(4.776518866492344-1.8447319274020921j),2.7980350219514527,0.0363809425670548,1.5183673469387755,0.6586021505376344
(-0.13471259241416364+0.13704072731920916j),(4.371959463896851-2.9138294738886223j),2.9355019115645433,0.03657517320736136,(1.3040652029694326+6.627096403560694j),(-0.010472786992289467-0.22630509460047588j),1.9643752841673339,1.2855336241709756,-1.0291663248716119,0.04311907818776321,(1.3032676827366414+6.630631853019968j),(-0.005748326046025214-0.24747208246305613j),1.9645587479823785,1.285717967241012,-1.0061793799417675,0.047098068867854656,(-0.1119141849113932+0.1523823437159946j),(4.373575379313999-2.9146958048152243j),2.7920989758875367,0.03597231612659234,1.5204081632653061,0.6577181208053691
(-0.10269608468005434+0.16618930430932796j),(3.7247067530987827-3.885838580188994j),2.9308744932489605,0.03629415136393021,(2.8543523970385967+6.297291918181598j),(-0.06332753888628197-0.2225815332454003j),1.9517963567560315,1.2844891736436899,-1.0414186591105752,0.042992575833936994,(2.85439026087437+6.301001527177535j),(-0.06370133177583351-0.244852732030191j),1.9519771755120856,1.2846800038322257,-1.0187843606165858,0.04698720426405786,(-0.0761455067478267+0.17568601039414072j),(3.7261202420190074-3.8870362836143557j),2.7863071568703166,0.03556079553346663,1.5224489795918368,0.6568364611260054
