widths,
0,
0.0284433,
0.540422,
0.0413995,
0.529737,
0.0545119,
0.518923,
0.0677836,
0.507977,
0.081218,
0.496898,
0.0948184,
0.485681,
0.108588,
0.474325,
0.122531,
0.462826,
0.13665,
0.451182,
0.15095,
0.439388,
0.165434,
0.427443,
0.180106,
0.415343,
0.19497,
0.403084,
0.210031,
0.390663,
0.225293,
0.378076,
0.240761,
0.36532,
0.256438,
0.35239,
0.27233,
0.339284,
0.288442,
0.325996,
0.304779,
0.312522,
0.321347,
0.298859,
0.338149,
0.285001,
0.355194,
0.270945,
0.372485,
0.256684,
0.390029,
