400_500_across,,500_500_thru,,500_500_across,
X,Y,X,Y,X,Y
0.0304078543407833,-43.0420685603023,,,2.0280519785093,-21.1156381477653
0.0304078543407833,-43.3717893183855,,,2.18171691113765,-20.6210570106404
0.0304078543407833,-43.7015100764688,4.87085323213372,-0.0959398199573709,2.48904677639434,-19.3846041678282
0.0304078543407833,-44.0312308345521,5.17818309739042,-0.0959398199573709,2.64271170902268,-18.9724532202241
0.0304078543407833,-44.3609515926353,5.40868049633294,-0.0959398199573709,2.79637664165103,-18.4778720830992
0.0304078543407833,-44.6906723507186,5.94650776053215,-0.0959398199573709,2.95004157427938,-18.0657211354952
0.0304078543407833,-45.0203931088018,6.25383762578885,-0.0959398199573709,3.41103637216442,-16.8292682926829
0.0304078543407833,-45.3501138668851,7.32949215418728,-0.260800198999002,3.56470130479277,-16.4171173450789
0.0304078543407833,-45.6798346249684,7.63682201944397,-0.260800198999002,3.71836623742112,-16.0873965869956
0.0304078543407833,-46.0095553830516,8.7124765478424,-0.425660578040633,4.17936103530616,-15.0982343127458
0.0304078543407833,-46.3392761411349,9.0198064130991,-0.425660578040633,4.33302596793451,-14.7685135546625
0.0304078543407833,-46.6689968992182,9.94179600886918,-0.590520957082264,4.48669090056285,-14.4387927965793
0.0304078543407833,-46.9987176573014,10.1722934078117,-0.590520957082264,5.02451816476207,-13.5320607118503
0.0304078543407833,-47.3284384153847,10.5564557393826,-0.755381336123895,5.25501556370459,-13.1199097642462
0.0304078543407833,-47.6581591734679,11.4784453351527,-0.920241715165526,6.1001726931605,-11.883456921434
0.0304078543407833,-47.9878799315512,11.7857752004093,-0.920241715165526,6.33067009210302,-11.6361663528715
0.0304078543407833,-48.3176006896345,12.0162725993519,-0.920241715165526,7.17582722155893,-10.5645738891009
0.0304078543407833,-48.6473214477177,12.5540998635511,-1.08510209420716,7.48315708681562,-10.2348531310177
0.0304078543407833,-48.977042205801,12.7845972624936,-1.08510209420716,8.55881161521405,-9.08083047772627
0.0304078543407833,-49.3067629638843,13.1687595940645,-1.24996247324879,8.86614148047075,-8.751109719643
0.0304078543407833,-49.6364837219675,13.9370842572062,-1.41482285229042,10.0954609414975,-7.76194744539322
0.0304078543407833,-49.9662044800508,14.2444141224629,-1.41482285229042,10.3259583404401,-7.51465687683077
0.0304078543407833,-50.295925238134,14.6285764540338,-1.57968323133205,11.3247804025243,-6.77278517114343
0.0304078543407833,-50.6256459962173,15.3200686508613,-1.74454361037368,11.632110267781,-6.6079247921018
0.0304078543407833,-50.9553667543006,15.5505660498039,-1.74454361037368,12.4772673972369,-6.03091346545609
0.0304078543407833,-51.2850875123838,15.8578959150606,-1.90940398941531,12.8614297288078,-5.78362289689364
0.0304078543407833,-51.6148082704671,16.5493881118881,-2.07426436845694,13.0919271277503,-5.70119270737283
0.0304078543407833,-51.9445290285504,16.8567179771448,-2.15669455797776,13.860251790892,-5.20661157024794
0.0304078543407833,-52.2742497866336,17.1640478424015,-2.23912474749857,14.1675816561487,-5.0417511912063
