,dw,dh,neff,ng
0,-0.03,-0.02,2.2004544523004146,4.222660363608355
1,-0.03,-0.016,2.221064731994385,4.243110794400833
2,-0.03,-0.012,2.242514403286277,4.265334339771167
3,-0.03,-0.008,2.25611899537614,4.267777592492848
4,-0.03,-0.004,2.2699144498069055,4.270862100397007
5,-0.03,0.0,2.2842380474009163,4.2752684162905865
6,-0.03,0.004,2.3002057363101422,4.2790417660490965
7,-0.03,0.008,2.3146735992756846,4.288246376016421
8,-0.03,0.012,2.3308788599015178,4.296987595931597
9,-0.03,0.016000000000000004,2.347804111951176,4.307375242569615
10,-0.03,0.02,2.364311777178219,4.3171051054575935
11,-0.024,-0.02,2.2122776400978394,4.2148121393110465
12,-0.024,-0.016,2.23297175414475,4.234622046691921
13,-0.024,-0.012,2.2545321951321955,4.25619032759838
14,-0.024,-0.008,2.268150825203466,4.258278246532635
15,-0.024,-0.004,2.2819485200265475,4.261052354574458
16,-0.024,0.0,2.296273323827835,4.2651585125721905
17,-0.024,0.004,2.3122595230959333,4.2688226558072255
18,-0.024,0.008,2.3267275411139403,4.27751641271128
19,-0.024,0.012,2.3429586872517123,4.285924820604038
20,-0.024,0.016000000000000004,2.3599270972851127,4.295957734541627
21,-0.024,0.02,2.376488313192301,4.305341634146291
22,-0.018,-0.02,2.2260312617854505,4.205863438711206
23,-0.018,-0.016,2.246766959167306,4.224945621389768
24,-0.018,-0.012,2.268406282604968,4.245776677204054
25,-0.018,-0.008,2.281995230325043,4.2475057776715115
26,-0.018,-0.004,2.2957501076948787,4.249969715614656
27,-0.018,0.0,2.3107880507080023,4.252682698436624
28,-0.018,0.004,2.3259390128346698,4.257412823793482
29,-0.018,0.008,2.3417113886908125,4.263630780501171
30,-0.018,0.012,2.356633200765909,4.273572630120755
31,-0.018,0.016000000000000004,2.37360982231349,4.283242010046667
32,-0.018,0.02,2.390197617129472,4.292276958158199
33,-0.011999999999999997,-0.02,2.2418442188222962,4.195896724398308
34,-0.011999999999999997,-0.016,2.2609187273608993,4.216015717784218
35,-0.011999999999999997,-0.012,2.2826604463051594,4.236143183679749
36,-0.011999999999999997,-0.008,2.296216337555334,4.237534182579975
37,-0.011999999999999997,-0.004,2.310353358048301,4.239261588060225
38,-0.011999999999999997,0.0,2.3248520333822613,4.2423983296474175
39,-0.011999999999999997,0.004,2.33993461289876,4.246911481089416
40,-0.011999999999999997,0.008,2.355638537428119,4.252907069921176
41,-0.011999999999999997,0.012,2.3706664452135615,4.2621170736437435
42,-0.011999999999999997,0.016000000000000004,2.3876595525816455,4.271438791669788
43,-0.011999999999999997,0.02,2.4042911788631316,4.280136298010206
44,-0.005999999999999998,-0.02,2.2561273749318214,4.189144489713376
45,-0.005999999999999998,-0.016,2.2755296878674547,4.208065523705776
46,-0.005999999999999998,-0.012,2.2974017386796546,4.227528503299688
47,-0.005999999999999998,-0.008,2.310922467396796,4.228601487405001
48,-0.005999999999999998,-0.004,2.324940448930311,4.2302702942245105
49,-0.005999999999999998,0.0,2.339357528429728,4.233214290833945
50,-0.005999999999999998,0.004,2.354359961099631,4.237522906491306
51,-0.005999999999999998,0.008,2.3699852184766432,4.243300783098112
52,-0.005999999999999998,0.012,2.3862696719014074,4.2506685014974925
53,-0.005999999999999998,0.016000000000000004,2.4021809964198586,4.260781797617572
54,-0.005999999999999998,0.02,2.4188769018249068,4.2691586622922415
55,0.0,-0.02,2.270939633523202,4.183578758637722
56,0.0,-0.016,2.291688148422531,4.200817978590347
57,0.0,-0.012,2.3127565270106247,4.220245871104224
58,0.0,-0.008,2.3263362172215163,4.221158837228826
59,0.0,-0.004,2.3401123603226157,4.2226595612523745
60,0.0,0.0,2.3544364795976165,4.225421993356415
61,0.0,0.004,2.369349395831734,4.229529184251478
62,0.0,0.008,2.384888587621663,4.23508676316278
63,0.0,0.012,2.4010904875707983,4.242216957764239
64,0.0,0.016000000000000004,2.4179916170317797,4.251052809726435
65,0.0,0.02,2.4340818222505836,4.25965936202475
66,0.006000000000000005,-0.02,2.2891448605060494,4.165297772091491
67,0.006000000000000005,-0.016,2.3097085675131424,4.182075843134211
68,0.006000000000000005,-0.012,2.3307400527246003,4.201646188242485
69,0.006000000000000005,-0.008,2.344107462376599,4.20261809102903
70,0.006000000000000005,-0.004,2.3577037958086025,4.204135057940301
71,0.006000000000000005,0.0,2.371853946155768,4.206879707835389
72,0.006000000000000005,0.004,2.3865971660651044,4.210940474431242
73,0.006000000000000005,0.008,2.4019701626897243,4.216428111517368
74,0.006000000000000005,0.012,2.4180093929358146,4.223465908839467
75,0.006000000000000005,0.016000000000000004,2.4347524313554336,4.23218790916396
76,0.006000000000000005,0.02,2.450777000008694,4.241237258306784
77,0.012000000000000004,-0.02,2.2957642075752758,4.159654827186397
78,0.012000000000000004,-0.016,2.3156494879697287,4.177883631964937
79,0.012000000000000004,-0.012,2.337036891981487,4.196334317911249
80,0.012000000000000004,-0.008,2.3504273219799123,4.197111957979915
81,0.012000000000000004,-0.004,2.364184686839917,4.198065383937018
82,0.012000000000000004,0.0,2.3784452518098624,4.200393623505978
83,0.012000000000000004,0.004,2.3933050408287557,4.204031781879526
84,0.012000000000000004,0.008,2.408798670743155,4.209097587725642
85,0.012000000000000004,0.012,2.4249612715584923,4.215718771316113
86,0.012000000000000004,0.016000000000000004,2.4411463670675486,4.225761215900651
87,0.012000000000000004,0.02,2.4574368806144786,4.233974235996956
88,0.018000000000000002,-0.02,2.305491678879124,4.147410772216707
89,0.018000000000000002,-0.016,2.325011090380133,4.16592611184371
90,0.018000000000000002,-0.012,2.3463584067529406,4.184105900131929
91,0.018000000000000002,-0.008,2.3597069279524456,4.184802677597942
92,0.018000000000000002,-0.004,2.373496828428497,4.185523102759852
93,0.018000000000000002,0.0,2.387758703287645,4.1876841166099785
94,0.018000000000000002,0.004,2.4026199390489524,4.191159282064378
95,0.018000000000000002,0.008,2.4181140941600043,4.1960684809410385
96,0.018000000000000002,0.012,2.434275694430245,4.2025421587734595
97,0.018000000000000002,0.016000000000000004,2.4501566901254033,4.212982146828754
98,0.018000000000000002,0.02,2.4664029603522213,4.221121434647921
99,0.024,-0.02,2.3127348728873547,4.140504332479232
100,0.024,-0.016,2.333296705744033,4.1564380050384315
101,0.024,-0.012,2.3546561678142943,4.174324115834217
102,0.024,-0.008,2.36799609712893,4.174886378374899
103,0.024,-0.004,2.3815588517370165,4.176029087133966
104,0.024,0.0,2.3961085314908632,4.17741022025569
105,0.024,0.004,2.410985634778162,4.18073624500566
106,0.024,0.008,2.4264938877645275,4.185506211998449
107,0.024,0.012,2.441684710493497,4.193965914793221
