,s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths,freqs
0,2.993091167758096,-0.20321609306317928,-0.20321609306317928,2.993091167758096,0.03053402758015499,0.9987129479172493,0.9987129479172493,0.03053402758015499,1.5,0.6666666666666666
1,2.996066750651561,-0.24171882743257553,-0.24171882743257553,2.996066750651561,0.030090054937748204,0.9987263385149038,0.9987263385149038,0.030090054937748204,1.5020408163265306,0.6657608695652174
2,2.999996601927986,-0.2801120943135811,-0.2801120943135811,2.999996601927986,0.02965569548521564,0.9987398154600325,0.9987398154600325,0.02965569548521564,1.5040816326530613,0.6648575305291723
3,3.004892390429003,-0.3183963816250859,-0.3183963816250859,3.004892390429003,0.029233075252930726,0.998753306785183,0.998753306785183,0.029233075252930726,1.506122448979592,0.6639566395663956
4,3.0107584901881146,-0.35657215860156827,-0.35657215860156827,3.0107584901881146,0.0288243348355459,0.9987667380845092,0.9987667380845092,0.0288243348355459,1.5081632653061225,0.6630581867388362
5,3.0175910165958935,-0.39463988564761426,-0.39463988564761426,3.0175910165958935,0.028431598003273804,0.9987800370123819,0.9987800370123819,0.028431598003273804,1.510204081632653,0.6621621621621622
6,3.025376818327633,-0.43260001456082303,-0.43260001456082303,3.025376818327633,0.028056952781072498,0.9987931337921991,0.9987931337921991,0.028056952781072498,1.5122448979591836,0.6612685560053981
7,3.0340925425507956,-0.4704529888035937,-0.4704529888035937,3.0340925425507956,0.027702430183456986,0.9988059617099548,0.9988059617099548,0.027702430183456986,1.514285714285714,0.6603773584905661
8,3.043703829897317,-0.5081992438185662,-0.5081992438185662,3.043703829897317,0.02736998082584625,0.9988184575873799,0.9988184575873799,0.02736998082584625,1.5163265306122446,0.6594885598923285
9,3.054164700952949,-0.5458392073924039,-0.5458392073924039,3.054164700952949,0.027061449790504025,0.9988305622295442,0.9988305622295442,0.027061449790504025,1.5183673469387755,0.6586021505376344
10,3.0654171975390248,-0.5833733000630188,-0.5833733000630188,3.0654171975390248,0.026778550293312695,0.9988422208379408,0.9988422208379408,0.026778550293312695,1.5204081632653064,0.6577181208053691
11,3.0773913386029847,-0.6208019355768224,-0.6208019355768224,3.0773913386029847,0.026522836865298178,0.9988533833834881,0.9988533833834881,0.026522836865298178,1.5224489795918368,0.6568364611260054
12,3.090005441162054,-0.6581255213697687,-0.6581255213697687,3.090005441162054,0.026295678913617032,0.9988640049279983,0.9988640049279983,0.026295678913617032,1.5244897959183674,0.6559571619812583
13,3.10316684108341,-0.6953444590924384,-0.6953444590924384,3.10316684108341,0.026098235643320797,0.998874045894888,0.998874045894888,0.026098235643320797,1.526530612244898,0.6550802139037433
14,3.1167729606859047,-0.7324591411722493,-0.7324591411722493,3.1167729606859047,0.02593144735308502,0.998883470051523,0.998883470051523,0.02593144735308502,1.5285714285714287,0.6542056074766355
15,3.130713102026615,-0.7694699673313249,-0.7694699673313249,3.130713102026615,0.025795960202531745,0.9988922536234544,0.9988922536234544,0.025795960202531745,1.530612244897959,0.6533333333333333
16,3.144869959731177,-0.8063773210455283,-0.8063773210455283,3.144869959731177,0.025692195637290742,0.9989003718985742,0.9989003718985742,0.025692195637290742,1.5326530612244897,0.6524633821571239
17,3.159122051606532,-0.8431815862515835,-0.8431815862515835,3.159122051606532,0.025620284500456107,0.9989078083243603,0.9989078083243603,0.025620284500456107,1.5346938775510202,0.6515957446808511
18,3.173346038023573,-0.879883143827821,-0.879883143827821,3.173346038023573,0.025580077343483394,0.9989145522367789,0.9989145522367789,0.025580077343483394,1.536734693877551,0.650730411686587
19,3.1874191890655164,-0.9164823721303407,-0.9164823721303407,3.1874191890655164,0.025571146701250817,0.9989205988167741,0.9989205988167741,0.025571146701250817,1.5387755102040817,0.649867374005305
20,3.201221821459378,-0.9529796475176632,-0.9529796475176632,3.201221821459378,0.0255927954094388,0.998925949001158,0.998925949001158,0.0255927954094388,1.5408163265306123,0.6490066225165563
21,3.214639590472535,-0.9893753448639728,-0.9893753448639728,3.214639590472535,0.025644070614036826,0.9989306093490558,0.9989306093490558,0.025644070614036826,1.542857142857143,0.6481481481481481
22,3.227565534534856,-1.0256698380481186,-1.0256698380481186,3.227565534534856,0.025723782834627184,0.9989345918630742,0.9989345918630742,0.025723782834627184,1.5448979591836736,0.6472919418758256
23,3.2399017911542765,-1.0618635004272936,-1.0618635004272936,3.2399017911542765,0.025830529211294806,0.9989379137681501,0.9989379137681501,0.025830529211294806,1.5469387755102044,0.646437994722955
24,3.251560929010178,-1.097956705276741,-1.097956705276741,3.251560929010178,0.02596271990756533,0.998940597248679,0.998940597248679,0.02596271990756533,1.5489795918367348,0.6455862977602107
25,3.262466869533944,-1.1339498261959835,-1.1339498261959835,3.262466869533944,0.02611860657075717,0.9989426691487032,0.9989426691487032,0.02611860657075717,1.5510204081632653,0.6447368421052632
26,3.2725553992916008,-1.1698432374789751,-1.1698432374789751,3.2725553992916008,0.026296311748590363,0.9989441606394266,0.9989441606394266,0.026296311748590363,1.5530612244897959,0.6438896189224704
27,3.2817742976398443,-1.2056373144507035,-1.2056373144507035,3.2817742976398443,0.02649385825969053,0.9989451068637625,0.9989451068637625,0.02649385825969053,1.5551020408163265,0.6430446194225722
28,3.2900831237236767,-1.2413324413088602,-1.2413324413088602,3.2900831237236767,0.02670919762276754,0.9989455476051363,0.9989455476051363,0.02670919762276754,1.5571428571428572,0.6422018348623854
29,3.297452718349794,-1.2769289808499824,-1.2769289808499824,3.297452718349794,0.026940236838318928,0.9989455226371395,0.9989455226371395,0.026940236838318928,1.5591836734693878,0.6413612565445026
