widths,
0.0951656,
0.1,
0.2725198,
0.1,
0.13719158,
0.1210994,
0.37552109,
0.1,
0.1,
0.1,
0.28255189,
0.1,
0.1,
0.19620809,
0.18566994,
0.1,
0.10314678,
0.2174454,
0.34148478,
0.14122033,
0.1,
0.1091461,
0.2384375,
0.1,
0.1,
0.20343046,
0.22054831,
0.10096091,
0.1,
0.2367961,
0.28423568,
0.1,
0.1,
0.1895438,
0.27279965,
0.1141175,
0.1,
0.21404551,
0.22954108,
0.1154294,
0.1,
0.2515361,
0.24310779,
0.1424587,
0.1,
0.25313695,
0.21166518,
0.1452441,
0.1,
0.27483735,
0.20257795,
0.15492488,
0.1,
0.2689723,
0.19807332,
0.16318492,
0.1,
0.27624888,
0.19706517,
0.1783036,
0.1,
0.27348674,
0.20600466,
0.13512072,
0.10006727,
0.2533976,
0.19277533,
0.13003789,
0.15681628,
0.25943536,
0.18585818,
0.1187813,
0.15237166,
0.23336913,
0.15623488,
0.1,
0.15623253,
0.2566310,
0.16391238,
0.10060876,
0.15568973,
0.263859,
0.1525521,
0.1014227,
0.14793833,
0.27679858,
0.1437548,
0.1,
0.14099586,
0.2943348,
0.13796997,
0.1,
0.13881107,
0.31327912,
0.13434304,
0.1000523,
0.13265919,
0.32885955,
0.34522178,
0.34828985
