gap,ne,no,lc
0.2,2.4578938891358253,2.437606567514646,38.20119848600072
0.2181818181818182,2.4590284530345676,2.441121340797247,43.27889330948697
0.2363636363636364,2.4521945026507157,2.437659129931565,53.318206211452924
0.2545454545454546,2.4519460132695583,2.4395487937980986,62.51401790410915
0.27272727272727276,2.4512482671261364,2.4410581200824613,76.05385836713992
0.29090909090909095,2.4514910750695833,2.442325284427525,84.55353501571564
0.3090909090909091,2.449447289145152,2.4415167663589434,97.72369626725651
0.32727272727272727,2.44725644040086,2.4406979901576222,118.16816035145936
0.34545454545454546,2.451715054255043,2.4462477567734413,141.751935505241
0.36363636363636365,2.4511275868468414,2.4462103459049396,157.6087096721065
0.38181818181818183,2.4455769535923193,2.4414079038208256,185.89367901029735
0.4,2.4451279165405504,2.441678341812145,224.6653750151438
