1,2,3,4,width
2.163842110140419,1.9955221276870336,1.9568720578498062,1.6026226493184472,0.2
2.2698311113797107,2.0143360980454954,1.9738442764595237,1.6672106762623566,0.27272727272727276
2.3749071614373976,2.022721543499155,1.993998339382517,1.7173091472618183,0.34545454545454546
2.472190731679559,2.027842275747838,2.027808422599126,1.757697777487647,0.4181818181818182
2.5398195070412375,2.0635817609729346,2.0317456421715354,1.7879811940369585,0.49090909090909096
2.595676596739633,2.115795146309804,2.0361358099709985,1.8159162113856164,0.5636363636363637
2.636439729959913,2.174632746294702,2.0412464712338863,1.841476359875722,0.6363636363636365
2.67161617514257,2.251774657032816,2.050456277974673,1.8684824657245376,0.7090909090909092
2.6962268154555886,2.318733761147305,2.0624524330486667,1.8929243322193854,0.781818181818182
2.716129241423511,2.3842586161683,2.0849979569926225,1.9133305502668752,0.8545454545454547
2.7308479510856256,2.4354502557579876,2.1122769830829484,1.9300388804709103,0.9272727272727275
2.743418457601507,2.4816200413149763,2.150477873084301,1.945015684260442,1.0
